Average Gigajoules per Household by Province,2013,2015
Canada,97.5,92.5
Newfoundland and Labrador,85,82.7
Prince Edward Island,101.6,105.7
Nova Scotia,83.7,88.1
New Brunswick,76.5,78.8
Quebec,78,73.4
Ontario,100.2,101
Manitoba,117.7,105.8
Saskatchewan,118.6,112
Alberta,137.1,117.7
British Columbia,92.1,80.3
